arm	arch	norm	vendor	scan	cos	L1_over_zero	beat	dist
a0_full	both	p5_p95	varian	CV_P4_V_01	0.6932	0.7583	94.4	0.1329
a0_full	both	mu_air_water	varian	CV_P4_V_01	0.6995	0.7414	97.8	0.0916
a0_full	both	minmax	varian	CV_P5_V_01	0.5676	0.8521	95.6	0.1719
a0_full	both	p0.5_p99.5	varian	CV_P5_V_01	0.6516	0.7758	100.0	0.0698
a0_full	both	p1_p99	varian	CV_P5_V_01	0.6332	0.7912	100.0	0.0631
a0_full	both	p2_p98	varian	CV_P5_V_01	0.6176	0.8056	100.0	0.0636
a0_full	both	p5_p95	varian	CV_P5_V_01	0.6077	0.8187	100.0	0.0786
a0_full	both	mu_air_water	varian	CV_P5_V_01	0.7016	0.7207	100.0	0.0950
a0_full	both	minmax	elekta	CE_P1_V_01	0.4109	1.0180	60.0	0.5805
a0_full	both	p0.5_p99.5	elekta	CE_P1_V_01	0.6254	0.8340	92.2	0.2785
a0_full	both	p1_p99	elekta	CE_P1_V_01	0.6221	0.8449	87.8	0.2620
a0_full	both	p2_p98	elekta	CE_P1_V_01	0.6232	0.8444	90.0	0.2670
a0_full	both	p5_p95	elekta	CE_P1_V_01	0.6320	0.8335	90.0	0.2699
a0_full	both	mu_air_water	elekta	CE_P1_V_01	0.5394	0.8737	98.9	0.2672
a0_full	both	minmax	elekta	CE_P2_V_01	0.2454	1.0254	63.3	0.6714
a0_full	both	p0.5_p99.5	elekta	CE_P2_V_01	0.3155	0.9924	71.1	0.4051
a0_full	both	p1_p99	elekta	CE_P2_V_01	0.3588	0.9748	73.3	0.3655
a0_full	both	p2_p98	elekta	CE_P2_V_01	0.4476	0.9263	74.4	0.2564
a0_full	both	p5_p95	elekta	CE_P2_V_01	0.4605	0.9157	75.6	0.1586
a0_full	both	mu_air_water	elekta	CE_P2_V_01	0.3636	0.9575	74.4	0.3298
a0_full	both	minmax	elekta	CE_P3_V_01	-0.1264	1.0203	17.8	0.9794
a0_full	both	p0.5_p99.5	elekta	CE_P3_V_01	0.4444	0.9309	87.8	0.5161
a0_full	both	p1_p99	elekta	CE_P3_V_01	0.5056	0.9034	84.4	0.4334
a0_full	both	p2_p98	elekta	CE_P3_V_01	0.5251	0.8950	83.3	0.3976
a0_full	both	p5_p95	elekta	CE_P3_V_01	0.5363	0.8922	83.3	0.3938
a0_full	both	mu_air_water	elekta	CE_P3_V_01	0.4427	0.9139	83.3	0.3726
a0_full	both	minmax	elekta	CE_P4_V_01	0.3860	0.9587	72.2	0.4818
a0_full	both	p0.5_p99.5	elekta	CE_P4_V_01	0.4993	0.8923	85.6	0.1079
a0_full	both	p1_p99	elekta	CE_P4_V_01	0.5021	0.8896	83.3	0.0850
a0_full	both	p2_p98	elekta	CE_P4_V_01	0.4978	0.8913	82.2	0.0808
a0_full	both	p5_p95	elekta	CE_P4_V_01	0.4837	0.8962	82.2	0.0867
a0_full	both	mu_air_water	elekta	CE_P4_V_01	0.4715	0.9163	81.1	0.0628
a0_full	both	minmax	elekta	CE_P5_V_01	0.2625	0.9687	68.9	0.3998
a0_full	both	p0.5_p99.5	elekta	CE_P5_V_01	0.5230	0.8678	84.4	0.2712
a0_full	both	p1_p99	elekta	CE_P5_V_01	0.5472	0.8509	84.4	0.2241
a0_full	both	p2_p98	elekta	CE_P5_V_01	0.5470	0.8492	84.4	0.1956
a0_full	both	p5_p95	elekta	CE_P5_V_01	0.5299	0.8575	85.6	0.1834
a0_full	both	mu_air_water	elekta	CE_P5_V_01	0.6021	0.8175	87.8	0.1820
a0h	encoder	minmax	varian	CV_P1_V_01	0.3504	1.1259	38.9	0.1610
a0h	encoder	p0.5_p99.5	varian	CV_P1_V_01	0.3688	1.0695	50.0	0.0288
a0h	encoder	p1_p99	varian	CV_P1_V_01	0.3657	1.0631	56.7	0.0232
a0h	encoder	p2_p98	varian	CV_P1_V_01	0.3606	1.0548	57.8	0.0205
a0h	encoder	p5_p95	varian	CV_P1_V_01	0.3516	1.0297	60.0	0.0213
a0h	encoder	mu_air_water	varian	CV_P1_V_01	0.0538	1.0860	20.0	0.0659
a0h	encoder	minmax	varian	CV_P2_V_01	0.5291	0.9403	80.0	0.4205
a0h	encoder	p0.5_p99.5	varian	CV_P2_V_01	0.4286	0.9870	68.9	0.0594
a0h	encoder	p1_p99	varian	CV_P2_V_01	0.4008	0.9943	68.9	0.0529
a0h	encoder	p2_p98	varian	CV_P2_V_01	0.3632	1.0032	65.6	0.0504
a0h	encoder	p5_p95	varian	CV_P2_V_01	0.3075	1.0100	58.9	0.0550
a0h	encoder	mu_air_water	varian	CV_P2_V_01	0.1423	1.0490	23.3	0.1054
a0h	encoder	minmax	varian	CV_P3_V_01	0.5762	0.8861	80.0	0.1063
a0h	encoder	p0.5_p99.5	varian	CV_P3_V_01	0.6017	0.8294	95.6	0.0832
a0h	encoder	p1_p99	varian	CV_P3_V_01	0.6006	0.8269	96.7	0.0853
a0h	encoder	p2_p98	varian	CV_P3_V_01	0.5960	0.8279	96.7	0.0870
a0h	encoder	p5_p95	varian	CV_P3_V_01	0.5671	0.8442	96.7	0.0967
a0h	encoder	mu_air_water	varian	CV_P3_V_01	0.4040	0.9348	78.9	0.0858
a0h	encoder	minmax	varian	CV_P4_V_01	0.6615	0.7859	94.4	0.0964
a0h	encoder	p0.5_p99.5	varian	CV_P4_V_01	0.6231	0.8023	96.7	0.1185
a0h	encoder	p1_p99	varian	CV_P4_V_01	0.6150	0.8110	96.7	0.1245
a0h	encoder	p2_p98	varian	CV_P4_V_01	0.6024	0.8264	96.7	0.1315
a0h	encoder	p5_p95	varian	CV_P4_V_01	0.5596	0.8624	95.6	0.1329
a0h	encoder	mu_air_water	varian	CV_P4_V_01	0.2579	0.9667	67.8	0.0916
a0h	encoder	minmax	varian	CV_P5_V_01	0.5500	0.8625	91.1	0.1719
a0h	encoder	p0.5_p99.5	varian	CV_P5_V_01	0.6216	0.8045	96.7	0.0698
a0h	encoder	p1_p99	varian	CV_P5_V_01	0.6190	0.8081	96.7	0.0631
a0h	encoder	p2_p98	varian	CV_P5_V_01	0.6191	0.8113	96.7	0.0636
a0h	encoder	p5_p95	varian	CV_P5_V_01	0.6211	0.8170	97.8	0.0786
a0h	encoder	mu_air_water	varian	CV_P5_V_01	0.5285	0.8469	97.8	0.0950
a0h	encoder	minmax	elekta	CE_P1_V_01	0.3901	1.0100	50.0	0.5805
a0h	encoder	p0.5_p99.5	elekta	CE_P1_V_01	0.5851	0.8397	92.2	0.2785
a0h	encoder	p1_p99	elekta	CE_P1_V_01	0.5833	0.8406	93.3	0.2620
a0h	encoder	p2_p98	elekta	CE_P1_V_01	0.5786	0.8431	93.3	0.2670
a0h	encoder	p5_p95	elekta	CE_P1_V_01	0.5462	0.8579	91.1	0.2699
a0h	encoder	mu_air_water	elekta	CE_P1_V_01	0.5717	0.8486	100.0	0.2672
a0h	encoder	minmax	elekta	CE_P2_V_01	0.2425	1.0664	36.7	0.6714
a0h	encoder	p0.5_p99.5	elekta	CE_P2_V_01	0.3052	1.0068	56.7	0.4051
a0h	encoder	p1_p99	elekta	CE_P2_V_01	0.3494	0.9781	66.7	0.3655
a0h	encoder	p2_p98	elekta	CE_P2_V_01	0.4386	0.9224	75.6	0.2564
a0h	encoder	p5_p95	elekta	CE_P2_V_01	0.4058	0.9425	75.6	0.1586
a0h	encoder	mu_air_water	elekta	CE_P2_V_01	0.4546	0.9414	73.3	0.3298
a0h	encoder	minmax	elekta	CE_P3_V_01	0.4173	0.9529	78.9	0.9794
a0h	encoder	p0.5_p99.5	elekta	CE_P3_V_01	0.5234	0.9146	85.6	0.5161
a0h	encoder	p1_p99	elekta	CE_P3_V_01	0.5355	0.9070	84.4	0.4334
a0h	encoder	p2_p98	elekta	CE_P3_V_01	0.5197	0.9108	83.3	0.3976
a0h	encoder	p5_p95	elekta	CE_P3_V_01	0.4651	0.9278	84.4	0.3938
a0h	encoder	mu_air_water	elekta	CE_P3_V_01	0.4847	0.9028	82.2	0.3726
a0h	encoder	minmax	elekta	CE_P4_V_01	0.4245	0.9477	83.3	0.4818
a0h	encoder	p0.5_p99.5	elekta	CE_P4_V_01	0.4903	0.9014	82.2	0.1079
a0h	encoder	p1_p99	elekta	CE_P4_V_01	0.4928	0.8996	82.2	0.0850
a0h	encoder	p2_p98	elekta	CE_P4_V_01	0.4910	0.8999	83.3	0.0808
a0h	encoder	p5_p95	elekta	CE_P4_V_01	0.4771	0.9048	82.2	0.0867
a0h	encoder	mu_air_water	elekta	CE_P4_V_01	0.3824	0.9719	76.7	0.0628
a0h	encoder	minmax	elekta	CE_P5_V_01	0.3833	0.9359	85.6	0.3998
a0h	encoder	p0.5_p99.5	elekta	CE_P5_V_01	0.5133	0.8745	87.8	0.2712
a0h	encoder	p1_p99	elekta	CE_P5_V_01	0.5287	0.8653	87.8	0.2241
a0h	encoder	p2_p98	elekta	CE_P5_V_01	0.5318	0.8646	86.7	0.1956
a0h	encoder	p5_p95	elekta	CE_P5_V_01	0.5276	0.8681	85.6	0.1834
a0h	encoder	mu_air_water	elekta	CE_P5_V_01	0.5525	0.8471	81.1	0.1820
a0h	decoder	minmax	varian	CV_P1_V_01	0.3686	1.1409	32.2	0.1610
a0h	decoder	p0.5_p99.5	varian	CV_P1_V_01	0.3521	1.1015	51.1	0.0288
a0h	decoder	p1_p99	varian	CV_P1_V_01	0.3422	1.1051	53.3	0.0232
a0h	decoder	p2_p98	varian	CV_P1_V_01	0.3275	1.1014	53.3	0.0205
a0h	decoder	p5_p95	varian	CV_P1_V_01	0.2713	1.0852	56.7	0.0213
a0h	decoder	mu_air_water	varian	CV_P1_V_01	0.0008	1.0841	36.7	0.0659
a0h	decoder	minmax	varian	CV_P2_V_01	0.5304	0.9114	86.7	0.4205
a0h	decoder	p0.5_p99.5	varian	CV_P2_V_01	0.3752	0.9777	73.3	0.0594
a0h	decoder	p1_p99	varian	CV_P2_V_01	0.3307	0.9924	70.0	0.0529
a0h	decoder	p2_p98	varian	CV_P2_V_01	0.2760	1.0121	61.1	0.0504
a0h	decoder	p5_p95	varian	CV_P2_V_01	0.2996	1.0012	64.4	0.0550
a0h	decoder	mu_air_water	varian	CV_P2_V_01	0.3229	0.9986	68.9	0.1054
a0h	decoder	minmax	varian	CV_P3_V_01	0.5624	0.9048	73.3	0.1063
a0h	decoder	p0.5_p99.5	varian	CV_P3_V_01	0.6110	0.8356	83.3	0.0832
a0h	decoder	p1_p99	varian	CV_P3_V_01	0.5975	0.8409	83.3	0.0853
a0h	decoder	p2_p98	varian	CV_P3_V_01	0.5739	0.8514	86.7	0.0870
a0h	decoder	p5_p95	varian	CV_P3_V_01	0.5211	0.8795	84.4	0.0967
a0h	decoder	mu_air_water	varian	CV_P3_V_01	0.3601	0.9595	67.8	0.0858
a0h	decoder	minmax	varian	CV_P4_V_01	0.6654	0.7719	96.7	0.0964
a0h	decoder	p0.5_p99.5	varian	CV_P4_V_01	0.6485	0.7920	96.7	0.1185
a0h	decoder	p1_p99	varian	CV_P4_V_01	0.6314	0.8113	96.7	0.1245
a0h	decoder	p2_p98	varian	CV_P4_V_01	0.6113	0.8350	96.7	0.1315
a0h	decoder	p5_p95	varian	CV_P4_V_01	0.5516	0.8763	94.4	0.1329
a0h	decoder	mu_air_water	varian	CV_P4_V_01	0.4485	0.9159	88.9	0.0916
a0h	decoder	minmax	varian	CV_P5_V_01	0.3863	0.9251	90.0	0.1719
a0h	decoder	p0.5_p99.5	varian	CV_P5_V_01	0.6530	0.7811	100.0	0.0698
a0h	decoder	p1_p99	varian	CV_P5_V_01	0.6571	0.7802	100.0	0.0631
a0h	decoder	p2_p98	varian	CV_P5_V_01	0.6636	0.7799	100.0	0.0636
a0h	decoder	p5_p95	varian	CV_P5_V_01	0.6549	0.7951	100.0	0.0786
a0h	decoder	mu_air_water	varian	CV_P5_V_01	0.5732	0.8519	100.0	0.0950
a0h	decoder	minmax	elekta	CE_P1_V_01	-0.2271	1.0242	7.8	0.5805
a0h	decoder	p0.5_p99.5	elekta	CE_P1_V_01	0.4589	0.8987	91.1	0.2785
a0h	decoder	p1_p99	elekta	CE_P1_V_01	0.4754	0.8934	91.1	0.2620
a0h	decoder	p2_p98	elekta	CE_P1_V_01	0.4526	0.9035	87.8	0.2670
a0h	decoder	p5_p95	elekta	CE_P1_V_01	0.3914	0.9293	90.0	0.2699
a0h	decoder	mu_air_water	elekta	CE_P1_V_01	0.4664	0.9073	92.2	0.2672
a0h	decoder	minmax	elekta	CE_P2_V_01	-0.1633	1.0200	14.4	0.6714
a0h	decoder	p0.5_p99.5	elekta	CE_P2_V_01	0.1154	0.9937	67.8	0.4051
a0h	decoder	p1_p99	elekta	CE_P2_V_01	0.3241	0.9555	75.6	0.3655
a0h	decoder	p2_p98	elekta	CE_P2_V_01	0.4359	0.9133	77.8	0.2564
a0h	decoder	p5_p95	elekta	CE_P2_V_01	0.3554	0.9564	74.4	0.1586
a0h	decoder	mu_air_water	elekta	CE_P2_V_01	0.4437	0.9125	80.0	0.3298
a0h	decoder	minmax	elekta	CE_P3_V_01	0.0930	0.9992	53.3	0.9794
a0h	decoder	p0.5_p99.5	elekta	CE_P3_V_01	0.3839	0.9572	81.1	0.5161
a0h	decoder	p1_p99	elekta	CE_P3_V_01	0.4634	0.9149	85.6	0.4334
a0h	decoder	p2_p98	elekta	CE_P3_V_01	0.4446	0.9191	85.6	0.3976
a0h	decoder	p5_p95	elekta	CE_P3_V_01	0.4190	0.9229	86.7	0.3938
a0h	decoder	mu_air_water	elekta	CE_P3_V_01	0.4630	0.9026	85.6	0.3726
a0h	decoder	minmax	elekta	CE_P4_V_01	0.1795	0.9909	67.8	0.4818
a0h	decoder	p0.5_p99.5	elekta	CE_P4_V_01	0.3768	0.9450	86.7	0.1079
a0h	decoder	p1_p99	elekta	CE_P4_V_01	0.4175	0.9293	86.7	0.0850
a0h	decoder	p2_p98	elekta	CE_P4_V_01	0.4322	0.9215	86.7	0.0808
a0h	decoder	p5_p95	elekta	CE_P4_V_01	0.4172	0.9262	84.4	0.0867
a0h	decoder	mu_air_water	elekta	CE_P4_V_01	0.3820	0.9469	74.4	0.0628
