[crb_enc_mse_full_spare] device=cuda:1 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | seed=20260824
[crb_enc_mse_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 85 | train MSE: 0.025721 | val MSE: 0.036733 | total time: 5 hours 15 minutes
Epoch: 86 | train MSE: 0.025884 | val MSE: 0.033856 | total time: 5 hours 19 minutes
Epoch: 87 | train MSE: 0.025284 | val MSE: 0.043019 | total time: 5 hours 23 minutes
Epoch: 88 | train MSE: 0.025613 | val MSE: 0.035092 | total time: 5 hours 26 minutes
Epoch: 89 | train MSE: 0.025571 | val MSE: 0.034199 | total time: 5 hours 30 minutes
Epoch: 90 | train MSE: 0.025394 | val MSE: 0.037677 | total time: 5 hours 34 minutes
Epoch: 91 | train MSE: 0.024838 | val MSE: 0.033529 | total time: 5 hours 38 minutes
Epoch: 92 | train MSE: 0.024588 | val MSE: 0.032596 | total time: 5 hours 42 minutes
Epoch: 93 | train MSE: 0.024966 | val MSE: 0.039902 | total time: 5 hours 45 minutes
Epoch: 94 | train MSE: 0.024689 | val MSE: 0.034835 | total time: 5 hours 49 minutes
Epoch: 95 | train MSE: 0.024589 | val MSE: 0.033448 | total time: 5 hours 53 minutes
Epoch: 96 | train MSE: 0.024010 | val MSE: 0.032652 | total time: 5 hours 57 minutes
Epoch: 97 | train MSE: 0.024184 | val MSE: 0.033061 | total time: 6 hours 0 minutes
Epoch: 98 | train MSE: 0.024535 | val MSE: 0.040927 | total time: 6 hours 4 minutes
Epoch: 99 | train MSE: 0.024184 | val MSE: 0.032202 | total time: 6 hours 8 minutes
Epoch: 100 | train MSE: 0.023814 | val MSE: 0.034317 | total time: 6 hours 12 minutes
finished best_val_mse=0.032202
