[crb_dec_mse_iso_g160_fov_full] device=cuda:0 | UNetCRBDecoder params=1.07M | FOV aug ¼×4 train | val=normal | G160-A1 decoder · iso 2mm · linear · FOV aug · full P1–P9 | seed=20260824
[crb_dec_mse_iso_g160_fov_full] train 12960 | val 720 | patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9'] hold-out=[]
Epoch: 89 | train MSE: 0.023154 | val MSE: 0.066982 | total time: 10 hours 35 minutes
Epoch: 90 | train MSE: 0.023094 | val MSE: 0.065310 | total time: 10 hours 42 minutes
Epoch: 91 | train MSE: 0.023568 | val MSE: 0.063902 | total time: 10 hours 49 minutes
Epoch: 92 | train MSE: 0.022684 | val MSE: 0.064828 | total time: 10 hours 57 minutes
Epoch: 93 | train MSE: 0.022648 | val MSE: 0.068603 | total time: 11 hours 4 minutes
Epoch: 94 | train MSE: 0.022606 | val MSE: 0.065902 | total time: 11 hours 11 minutes
Epoch: 95 | train MSE: 0.022436 | val MSE: 0.069615 | total time: 11 hours 18 minutes
Epoch: 96 | train MSE: 0.022331 | val MSE: 0.069869 | total time: 11 hours 24 minutes
Epoch: 97 | train MSE: 0.022539 | val MSE: 0.064944 | total time: 11 hours 30 minutes
Epoch: 98 | train MSE: 0.022361 | val MSE: 0.072498 | total time: 11 hours 35 minutes
Epoch: 99 | train MSE: 0.021904 | val MSE: 0.074242 | total time: 11 hours 41 minutes
Epoch: 100 | train MSE: 0.022145 | val MSE: 0.065653 | total time: 11 hours 47 minutes
finished best_val_mse=0.060382
