=== E2 encoder start Tue Aug 25 11:27:28 AM AEST 2026 ===
[crb_enc_mse_cyclic_full_spare] device=cuda:1 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | cyclic(θ) cond_dim=4 | seed=20260824
[crb_enc_mse_cyclic_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 82 | train MSE: 0.025817 | val MSE: 0.041117 | total time: 5 hours 55 minutes
Epoch: 83 | train MSE: 0.025340 | val MSE: 0.034660 | total time: 5 hours 59 minutes
Epoch: 84 | train MSE: 0.025780 | val MSE: 0.046302 | total time: 6 hours 3 minutes
Epoch: 85 | train MSE: 0.025199 | val MSE: 0.037822 | total time: 6 hours 7 minutes
Epoch: 86 | train MSE: 0.025495 | val MSE: 0.036843 | total time: 6 hours 11 minutes
Epoch: 87 | train MSE: 0.024963 | val MSE: 0.041384 | total time: 6 hours 15 minutes
Epoch: 88 | train MSE: 0.024915 | val MSE: 0.036265 | total time: 6 hours 19 minutes
Epoch: 89 | train MSE: 0.025160 | val MSE: 0.033906 | total time: 6 hours 22 minutes
Epoch: 90 | train MSE: 0.024938 | val MSE: 0.033778 | total time: 6 hours 26 minutes
Epoch: 91 | train MSE: 0.024703 | val MSE: 0.036275 | total time: 6 hours 30 minutes
Epoch: 92 | train MSE: 0.024396 | val MSE: 0.036993 | total time: 6 hours 34 minutes
Epoch: 93 | train MSE: 0.024789 | val MSE: 0.033521 | total time: 6 hours 37 minutes
Epoch: 94 | train MSE: 0.024110 | val MSE: 0.033419 | total time: 6 hours 41 minutes
Epoch: 95 | train MSE: 0.024428 | val MSE: 0.033428 | total time: 6 hours 45 minutes
Epoch: 96 | train MSE: 0.023765 | val MSE: 0.033494 | total time: 6 hours 49 minutes
Epoch: 97 | train MSE: 0.024025 | val MSE: 0.033567 | total time: 6 hours 52 minutes
Epoch: 98 | train MSE: 0.024141 | val MSE: 0.035301 | total time: 6 hours 56 minutes
Epoch: 99 | train MSE: 0.023645 | val MSE: 0.033275 | total time: 7 hours 0 minutes
Epoch: 100 | train MSE: 0.023239 | val MSE: 0.032882 | total time: 7 hours 4 minutes
finished best_val_mse=0.032882
=== E2 decoder start Tue Aug 25 06:31:47 PM AEST 2026 ===
[crb_dec_mse_cyclic_full_spare] device=cuda:1 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder-only | cyclic(θ) cond_dim=4 | seed=20260824
[crb_dec_mse_cyclic_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.420994 | val MSE: 0.238193 | total time: 0 hours 3 minutes
Epoch: 2 | train MSE: 0.243786 | val MSE: 0.196158 | total time: 0 hours 7 minutes
Epoch: 3 | train MSE: 0.168699 | val MSE: 0.123144 | total time: 0 hours 11 minutes
Epoch: 4 | train MSE: 0.127239 | val MSE: 0.105169 | total time: 0 hours 15 minutes
Epoch: 5 | train MSE: 0.103193 | val MSE: 0.096107 | total time: 0 hours 19 minutes
Epoch: 6 | train MSE: 0.084498 | val MSE: 0.082263 | total time: 0 hours 23 minutes
Epoch: 7 | train MSE: 0.072719 | val MSE: 0.069697 | total time: 0 hours 27 minutes
Epoch: 8 | train MSE: 0.063768 | val MSE: 0.078412 | total time: 0 hours 30 minutes
Epoch: 9 | train MSE: 0.056929 | val MSE: 0.066012 | total time: 0 hours 34 minutes
Epoch: 10 | train MSE: 0.053820 | val MSE: 0.067484 | total time: 0 hours 38 minutes
Epoch: 11 | train MSE: 0.049546 | val MSE: 0.061419 | total time: 0 hours 42 minutes
Epoch: 12 | train MSE: 0.046183 | val MSE: 0.054650 | total time: 0 hours 46 minutes
Epoch: 13 | train MSE: 0.043908 | val MSE: 0.051481 | total time: 0 hours 50 minutes
Epoch: 14 | train MSE: 0.042097 | val MSE: 0.050242 | total time: 0 hours 54 minutes
Epoch: 15 | train MSE: 0.040100 | val MSE: 0.048880 | total time: 0 hours 58 minutes
Epoch: 16 | train MSE: 0.039101 | val MSE: 0.045631 | total time: 1 hours 2 minutes
Epoch: 17 | train MSE: 0.036940 | val MSE: 0.049626 | total time: 1 hours 6 minutes
Epoch: 18 | train MSE: 0.036131 | val MSE: 0.048058 | total time: 1 hours 9 minutes
Epoch: 19 | train MSE: 0.034716 | val MSE: 0.043431 | total time: 1 hours 13 minutes
Epoch: 20 | train MSE: 0.033687 | val MSE: 0.041441 | total time: 1 hours 17 minutes
Epoch: 21 | train MSE: 0.032723 | val MSE: 0.044699 | total time: 1 hours 21 minutes
Epoch: 22 | train MSE: 0.031704 | val MSE: 0.050015 | total time: 1 hours 25 minutes
Epoch: 23 | train MSE: 0.031215 | val MSE: 0.044728 | total time: 1 hours 29 minutes
Epoch: 24 | train MSE: 0.030967 | val MSE: 0.043165 | total time: 1 hours 33 minutes
Epoch: 25 | train MSE: 0.029433 | val MSE: 0.039382 | total time: 1 hours 37 minutes
Epoch: 26 | train MSE: 0.029010 | val MSE: 0.040178 | total time: 1 hours 41 minutes
Epoch: 27 | train MSE: 0.028736 | val MSE: 0.040055 | total time: 1 hours 45 minutes
Epoch: 28 | train MSE: 0.028272 | val MSE: 0.040727 | total time: 1 hours 49 minutes
Epoch: 29 | train MSE: 0.027955 | val MSE: 0.042043 | total time: 1 hours 52 minutes
Epoch: 30 | train MSE: 0.026902 | val MSE: 0.039908 | total time: 1 hours 56 minutes
Epoch: 31 | train MSE: 0.026608 | val MSE: 0.037822 | total time: 2 hours 0 minutes
Epoch: 32 | train MSE: 0.026362 | val MSE: 0.039109 | total time: 2 hours 4 minutes
Epoch: 33 | train MSE: 0.026024 | val MSE: 0.037468 | total time: 2 hours 8 minutes
Epoch: 34 | train MSE: 0.025136 | val MSE: 0.041021 | total time: 2 hours 12 minutes
Epoch: 35 | train MSE: 0.025008 | val MSE: 0.036788 | total time: 2 hours 16 minutes
Epoch: 36 | train MSE: 0.024614 | val MSE: 0.035020 | total time: 2 hours 20 minutes
Epoch: 37 | train MSE: 0.024586 | val MSE: 0.035591 | total time: 2 hours 24 minutes
Epoch: 38 | train MSE: 0.024249 | val MSE: 0.036561 | total time: 2 hours 28 minutes
Epoch: 39 | train MSE: 0.024001 | val MSE: 0.037271 | total time: 2 hours 31 minutes
Epoch: 40 | train MSE: 0.024014 | val MSE: 0.035061 | total time: 2 hours 35 minutes
