[crb_dec_mse_pop_e1] device=cuda:1 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder-only | seed=20260817
[crb_dec_mse_pop_e1] train 8640 (540 pairs × 16) | val 480 (60 pairs × 8) | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 87 | train MSE: 0.011935 | val MSE: 0.028892 | total time: 3 hours 27 minutes
Epoch: 88 | train MSE: 0.011939 | val MSE: 0.023463 | total time: 3 hours 29 minutes
Epoch: 89 | train MSE: 0.012120 | val MSE: 0.022010 | total time: 3 hours 31 minutes
Epoch: 90 | train MSE: 0.011813 | val MSE: 0.023428 | total time: 3 hours 34 minutes
Epoch: 91 | train MSE: 0.011802 | val MSE: 0.021986 | total time: 3 hours 36 minutes
Epoch: 92 | train MSE: 0.011540 | val MSE: 0.023194 | total time: 3 hours 39 minutes
Epoch: 93 | train MSE: 0.011719 | val MSE: 0.022982 | total time: 3 hours 41 minutes
Epoch: 94 | train MSE: 0.011886 | val MSE: 0.022306 | total time: 3 hours 43 minutes
Epoch: 95 | train MSE: 0.011422 | val MSE: 0.021978 | total time: 3 hours 46 minutes
Epoch: 96 | train MSE: 0.011554 | val MSE: 0.026580 | total time: 3 hours 48 minutes
Epoch: 97 | train MSE: 0.011450 | val MSE: 0.022320 | total time: 3 hours 51 minutes
Epoch: 98 | train MSE: 0.011380 | val MSE: 0.022508 | total time: 3 hours 53 minutes
Epoch: 99 | train MSE: 0.011424 | val MSE: 0.022655 | total time: 3 hours 55 minutes
Epoch: 100 | train MSE: 0.011160 | val MSE: 0.022217 | total time: 3 hours 58 minutes
finished best_val_mse=0.021764
