[crb_dec_mse_pop_e5] device=cuda:0 | UNetCRBDecoder params=1.07M trainable=0.58M | loss=lung-masked MSE | CRB=decoder; frozen pretrained encoder | seed=20260817
[crb_dec_mse_pop_e5] anatomy=/home/abhishek/Voxel_GAN/PopulationStudy/Experiment4/AnatomyAE/weights/anatomy_encoder.pth | train 8640 val 480 | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 87 | train MSE: 0.040325 | val MSE: 0.058999 | total time: 3 hours 28 minutes
Epoch: 88 | train MSE: 0.040335 | val MSE: 0.054873 | total time: 3 hours 30 minutes
Epoch: 89 | train MSE: 0.039966 | val MSE: 0.053678 | total time: 3 hours 33 minutes
Epoch: 90 | train MSE: 0.039622 | val MSE: 0.056405 | total time: 3 hours 35 minutes
Epoch: 91 | train MSE: 0.039441 | val MSE: 0.054284 | total time: 3 hours 37 minutes
Epoch: 92 | train MSE: 0.039123 | val MSE: 0.058062 | total time: 3 hours 40 minutes
Epoch: 93 | train MSE: 0.039398 | val MSE: 0.060004 | total time: 3 hours 42 minutes
Epoch: 94 | train MSE: 0.039457 | val MSE: 0.066455 | total time: 3 hours 45 minutes
Epoch: 95 | train MSE: 0.038620 | val MSE: 0.054411 | total time: 3 hours 47 minutes
Epoch: 96 | train MSE: 0.038626 | val MSE: 0.054193 | total time: 3 hours 50 minutes
Epoch: 97 | train MSE: 0.038593 | val MSE: 0.060661 | total time: 3 hours 52 minutes
Epoch: 98 | train MSE: 0.038445 | val MSE: 0.057174 | total time: 3 hours 55 minutes
Epoch: 99 | train MSE: 0.037943 | val MSE: 0.055856 | total time: 3 hours 57 minutes
Epoch: 100 | train MSE: 0.038223 | val MSE: 0.051821 | total time: 3 hours 59 minutes
finished best_val_mse=0.051821
