model	patient	ref	tgt	L1_pred	L1_zero	L1_oracle	alpha_oracle	cos	amp_ratio	ratio_pred	ratio_oracle
E1_Decoder	P4	1	10	0.2310645580291748	0.25740060210227966	0.2309218794107437	0.9815835290213523	0.5118680136978148	0.519683204856165	0.8976846057934236	0.8971303001031269
E1_Decoder	P4	2	1	0.3829538822174072	0.4681176543235779	0.2869166433811188	3.137027947108245	0.864459520009999	0.2562135957603783	0.8180718643708688	0.6129156649639896
E1_Decoder	P4	2	3	0.2621541917324066	0.4737131893634796	0.234173983335495	1.4346513445706162	0.917866043389721	0.6604454420020669	0.5534027711676316	0.4943370558251726
E1_Decoder	P4	2	4	0.30540332198143005	0.6846440434455872	0.30114832520484924	1.1218950558490381	0.9354544440212542	0.8311504197244571	0.44607606668778726	0.4398611630202306
E1_Decoder	P4	2	5	0.3603378236293793	0.8636326789855957	0.3593719005584717	1.0679775867111276	0.9369116355375994	0.8739115409238283	0.4172350495729554	0.4161166075611939
E1_Decoder	P4	2	6	0.40300461649894714	0.9420016407966614	0.40361347794532776	1.0405058307857546	0.9355504932032838	0.8855787921156825	0.4278173190421639	0.4284636676471044
E1_Decoder	P4	2	7	0.4080551266670227	0.9071661233901978	0.40947338938713074	1.029952070647753	0.917931735470079	0.8869660529792077	0.44981301235331367	0.45137641147453283
E1_Decoder	P4	2	8	0.3346518874168396	0.6416051387786865	0.3348831534385681	1.0103168929262423	0.8797700720608389	0.879584610892676	0.5215854225448675	0.5219458716867942
E1_Decoder	P4	2	9	0.3482086658477783	0.45788490772247314	0.3491135239601135	0.9570184324720425	0.6492291515462462	0.6466168541876659	0.7604720312354775	0.7624482005677142
E1_Decoder	P4	2	10	0.4519366919994354	0.47507596015930176	0.4576745331287384	1.5419566743363569	0.3811608032308245	0.2559382163628172	0.9512935401906943	0.963371274301633
E1_Decoder	P4	3	1	0.5533205270767212	0.9226334095001221	0.3819197118282318	1.8682010636585467	0.9460796143871311	0.48444787492116914	0.5997187196770897	0.41394524401100313
E1_Decoder	P4	3	2	0.2475159615278244	0.4744071960449219	0.22215867042541504	1.3758149327424845	0.9271661386979387	0.6778316826378105	0.5217373673741386	0.46828688999139617
E1_Decoder	P4	3	4	0.16761364042758942	0.2561247944831848	0.15903082489967346	0.812933120789477	0.8168573349113439	0.9833866301546874	0.6544217664119732	0.6209114787991141
E1_Decoder	P4	3	5	0.22640590369701385	0.37633317708969116	0.19371558725833893	0.7343338958676776	0.8894303272339104	1.169173699862996	0.6016102684538354	0.5147449097005095
E1_Decoder	P4	3	6	0.30537208914756775	0.47044864296913147	0.27068042755126953	0.7455967159909276	0.859230475954827	1.1138473447646293	0.6491082368104626	0.5753665816590107
E1_Decoder	P4	3	7	0.3123553693294525	0.44286859035491943	0.27841657400131226	0.7262695339601799	0.8066498597565873	1.0930874499222223	0.7053003444636426	0.6286663359399373
E1_Decoder	P4	3	8	0.33492252230644226	0.4075903296470642	0.3331862986087799	0.8944853125427081	0.6127707007989258	0.6443803654028593	0.8217136127749999	0.8174538853688914
E1_Decoder	P4	3	9	0.422340989112854	0.5597416758537292	0.3788161277770996	1.8317374188568356	0.8056144380587752	0.4118068869354335	0.7545283964584039	0.6767695601713445
E1_Decoder	P4	3	10	0.6074018478393555	0.8812300562858582	0.4546392858028412	1.9909079089895014	0.904494459364115	0.41264161407000793	0.6892659226801533	0.5159144114069605
E1_Decoder	P4	4	1	0.6146429777145386	1.139390468597412	0.49022307991981506	1.5288065230794916	0.941254823919693	0.6011037470762026	0.5394489375281181	0.4302502903357432
E1_Decoder	P4	4	2	0.30279234051704407	0.7018625140190125	0.3021439015865326	1.116010167638832	0.9408632738272291	0.8408681380038335	0.4314126121128644	0.4304887289910855
E1_Decoder	P4	4	3	0.1637280136346817	0.26368728280067444	0.1554354727268219	0.8131861530982196	0.840497883334441	0.9762343780453686	0.6209173680872824	0.5894689765691815
E1_Decoder	P4	4	5	0.1430826187133789	0.19393081963062286	0.1357935070991516	0.7522690023468883	0.6976176411487425	0.9351538615178882	0.7378023719278155	0.7002162284354569
E1_Decoder	P4	4	6	0.18558017909526825	0.2694661319255829	0.1701001226902008	0.7528333283368006	0.7906629838862451	1.016974612507601	0.6886957472878966	0.6312486154556021
E1_Decoder	P4	4	7	0.2590198516845703	0.3192635774612427	0.25804051756858826	0.9427366402169238	0.6460289180092341	0.682308525036355	0.8113041072341373	0.8082366288710567
E1_Decoder	P4	4	8	0.3428761959075928	0.45776110887527466	0.3328815698623657	1.3404339734093578	0.7472381254899698	0.5005109391843635	0.7490286729469969	0.7271949569509308
E1_Decoder	P4	4	9	0.4723684787750244	0.740041971206665	0.4313931465148926	1.3888883050316103	0.8623348903924625	0.5429437385077972	0.6382995791506401	0.5829306489353442
E1_Decoder	P4	4	10	0.6429005265235901	1.096706748008728	0.5275508165359497	1.5488034748504267	0.9191909063292101	0.5445857398219859	0.5862100581499053	0.4810317958686904
E1_Decoder	P4	5	1	0.6202409863471985	1.2785019874572754	0.5211275815963745	1.4008301045165696	0.9483831539906205	0.6772132475264945	0.48513103024638476	0.4076079558020941
E1_Decoder	P4	5	2	0.34977176785469055	0.8621730804443359	0.35150113701820374	1.0366627886457631	0.943005758047241	0.9188130985702104	0.40568625463744423	0.4076920806168658
E1_Decoder	P4	5	3	0.2494717836380005	0.3825530707836151	0.1957540661096573	0.6874423875090947	0.8940808321397278	1.2355370455659855	0.6521233331809017	0.5117043387174439
E1_Decoder	P4	5	4	0.13079507648944855	0.19855770468711853	0.1280442774295807	0.8512041556042949	0.768165171683923	0.8950436805218699	0.6587257678847146	0.6448718654929515
E1_Decoder	P4	5	6	0.13345728814601898	0.14749197661876678	0.12870316207408905	0.6960505467851003	0.4489643188496122	0.6357010569657264	0.9048443936104791	0.8726112770646328
