patient	ref	tgt	L1_atlas	L1_zero	L1_atlas_oracle	alpha_oracle	cos	ratio_atlas	ratio_oracle
P1	7	6	0.186983123421669	0.1989709883928299	0.19128771126270294	1.2839697094190992	0.4294955725879816	0.939750688942183	0.9613849376123227
P1	7	8	0.2314605712890625	0.2865739166736603	0.22993174195289612	1.6230452427941802	0.7367564136729211	0.8076819201680563	0.8023470685042625
P1	7	9	0.44429731369018555	0.6009567379951477	0.4322693347930908	1.4466423501898655	0.784403419924972	0.7393166356240654	0.7193019188622212
P1	7	10	0.5334605574607849	0.7759274840354919	0.5255588889122009	1.2541065598598022	0.8213324900483109	0.6875134190199451	0.6773299048241487
P1	8	1	0.3624388873577118	0.5390722155570984	0.3561536967754364	0.8954026246686395	0.7952871177709491	0.672338282141203	0.6606790082983097
P1	8	2	0.4183746576309204	0.5164951086044312	0.4136980473995209	0.7590528580294624	0.5716691542727849	0.8100263693907344	0.8009718591862994
P1	8	3	0.4696543514728546	0.5050653219223022	0.47183331847190857	0.6816784662689749	0.2845124250233617	0.9298883354044744	0.9342025634943395
P1	8	4	0.5257604718208313	0.5754151344299316	0.5214550495147705	1.6044112863723785	0.40776910939721495	0.9137063666942066	0.9062240777371631
P1	8	5	0.5666584372520447	0.6453139185905457	0.5592111349105835	2.1410512790337135	0.5851933926062897	0.878112839235987	0.866572250807758
P1	8	6	0.5404823422431946	0.6274868249893188	0.5381331443786621	2.035761749093924	0.6465361136695248	0.8613445266398936	0.857600706417736
P1	8	7	0.2238016426563263	0.2717379331588745	0.22475183010101318	1.4304606190084455	0.7156125196806833	0.8235936737086987	0.8270903789115435
P1	8	9	0.1677246242761612	0.23093673586845398	0.16856719553470612	1.0516950241550538	0.8087659876403349	0.7262795312552628	0.7299280250965582
P1	8	10	0.3062879145145416	0.4749017059803009	0.3070510923862457	1.0556088416309948	0.8373603575577803	0.6449501247469651	0.6465571475520923
P1	9	1	0.2641167938709259	0.3441850244998932	0.2575845718383789	0.7680199523807918	0.6753313041860113	0.7673686391634621	0.7483898296059038
P1	9	2	0.39739280939102173	0.4239855706691742	0.39907675981521606	0.5280789979071725	0.24926265617205232	0.9372790889176222	0.941250805269989
P1	9	3	0.5335723757743835	0.6078640818595886	0.5186253786087036	2.0754448462635318	0.5599854331977191	0.8777823722403032	0.8531929983790383
P1	9	4	0.6329088807106018	0.7574048042297363	0.6165218353271484	1.9265092668785522	0.6757240972742327	0.8356282890947013	0.813992506892186
P1	9	5	0.7257146239280701	0.8945488929748535	0.7131413817405701	1.7958185287714483	0.7109001320575572	0.8112632295756141	0.7972078299364874
P1	9	6	0.7303795218467712	0.9213516116142273	0.7141085267066956	1.7035077808235304	0.73400704093747	0.7927261564856125	0.7750662371508338
P1	9	7	0.45086973905563354	0.6052778959274292	0.4457532465457916	1.334739177670818	0.7696116939843612	0.7448970829585545	0.736443953339469
P1	9	8	0.1843501329421997	0.24795229732990265	0.18446657061576843	1.005484612118989	0.7847602337235593	0.7434903202244595	0.7439599172994719
P1	9	10	0.14525184035301208	0.21077802777290344	0.14197827875614166	0.9025440482918092	0.8039701961049043	0.6891223050512143	0.6735914566442
P1	10	1	0.1304258555173874	0.12205556780099869	0.12022532522678375	0.15893709203459494	0.11581081340307177	1.0685776803728917	0.9850048415882265
