[2026-08-26 10:25:20] === E2 QC START gpu=0 (enc/dec/both × varian+elekta) ===
[2026-08-26 10:25:20] QC varian encoder CV_P1_V_01
[ckpt] cond_dim=2 phase=linear
[encoder] scan=CV_P1_V_01 pairs=100 panels=100 ckpt=crb_enc_mse_cyclic_full_spare_generator.pth out=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/EncoderCRB/plots/qc_varian/P1/CV_P1_V_01
[063/100] 07_to_03  L1=0.607  L1/zero=0.82  cos=0.54  k=0.41
[064/100] 07_to_04  L1=0.436  L1/zero=0.86  cos=0.48  k=0.37
[065/100] 07_to_05  L1=0.282  L1/zero=0.93  cos=0.34  k=0.49
[066/100] 07_to_06  L1=0.178  L1/zero=0.96  cos=0.28  k=0.47
[067/100] 07_to_07  L1=0.003  L1/zero=326585.23  cos=nan  k=nan
[068/100] 07_to_08  L1=0.196  L1/zero=0.88  cos=0.55  k=0.61
[069/100] 07_to_09  L1=0.422  L1/zero=0.94  cos=0.55  k=0.65
[070/100] 07_to_10  L1=0.717  L1/zero=0.89  cos=0.56  k=0.53
[071/100] 08_to_01  L1=0.770  L1/zero=0.84  cos=0.59  k=0.46
[072/100] 08_to_02  L1=0.636  L1/zero=0.76  cos=0.62  k=0.49
[073/100] 08_to_03  L1=0.551  L1/zero=0.83  cos=0.55  k=0.44
[074/100] 08_to_04  L1=0.489  L1/zero=0.86  cos=0.51  k=0.32
[075/100] 08_to_05  L1=0.423  L1/zero=0.86  cos=0.47  k=0.33
[076/100] 08_to_06  L1=0.322  L1/zero=0.86  cos=0.48  k=0.49
[077/100] 08_to_07  L1=0.235  L1/zero=0.92  cos=0.41  k=0.54
[078/100] 08_to_08  L1=0.003  L1/zero=265528.49  cos=nan  k=nan
[079/100] 08_to_09  L1=0.288  L1/zero=0.95  cos=0.52  k=0.68
[080/100] 08_to_10  L1=0.589  L1/zero=0.91  cos=0.53  k=0.49
[081/100] 09_to_01  L1=0.482  L1/zero=0.86  cos=0.59  k=0.40
[082/100] 09_to_02  L1=0.438  L1/zero=0.86  cos=0.56  k=0.43
[083/100] 09_to_03  L1=0.556  L1/zero=0.93  cos=0.36  k=0.21
[084/100] 09_to_04  L1=0.577  L1/zero=0.89  cos=0.43  k=0.28
[085/100] 09_to_05  L1=0.627  L1/zero=0.89  cos=0.46  k=0.37
[086/100] 09_to_06  L1=0.543  L1/zero=0.88  cos=0.54  k=0.51
[087/100] 09_to_07  L1=0.407  L1/zero=0.92  cos=0.53  k=0.54
[088/100] 09_to_08  L1=0.243  L1/zero=0.91  cos=0.57  k=0.50
[089/100] 09_to_09  L1=0.002  L1/zero=230668.35  cos=nan  k=nan
[090/100] 09_to_10  L1=0.272  L1/zero=0.87  cos=0.60  k=0.47
[091/100] 10_to_01  L1=0.218  L1/zero=0.85  cos=0.55  k=0.42
[092/100] 10_to_02  L1=0.385  L1/zero=0.97  cos=0.25  k=0.28
[093/100] 10_to_03  L1=0.692  L1/zero=0.95  cos=0.25  k=0.26
[094/100] 10_to_04  L1=0.824  L1/zero=0.91  cos=0.45  k=0.33
[095/100] 10_to_05  L1=0.821  L1/zero=0.88  cos=0.54  k=0.42
[096/100] 10_to_06  L1=0.839  L1/zero=0.89  cos=0.50  k=0.47
[097/100] 10_to_07  L1=0.692  L1/zero=0.90  cos=0.55  k=0.53
[098/100] 10_to_08  L1=0.534  L1/zero=0.90  cos=0.58  k=0.52
[099/100] 10_to_09  L1=0.270  L1/zero=0.85  cos=0.63  k=0.46
[100/100] 10_to_10  L1=0.003  L1/zero=256728.01  cos=nan  k=nan

[encoder] Directed mean: L1=0.538  L1/zero=0.88  cos=0.52  k=0.45  beat_zero=100%
wrote /home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/EncoderCRB/plots/qc_varian/P2/CV_P2_V_01 (100 pngs)
[2026-08-26 10:26:52] QC varian encoder CV_P3_V_01
[ckpt] cond_dim=2 phase=linear
[encoder] scan=CV_P3_V_01 pairs=100 panels=100 ckpt=crb_enc_mse_cyclic_full_spare_generator.pth out=/home/abhishek/Voxel_GAN/PopulationStudy/ClinicalExperiments/Experiment2/EncoderCRB/plots/qc_varian/P3/CV_P3_V_01
[001/100] 01_to_01  L1=0.005  L1/zero=451556.27  cos=nan  k=nan
[002/100] 01_to_02  L1=0.313  L1/zero=0.96  cos=0.42  k=0.39
[003/100] 01_to_03  L1=0.628  L1/zero=0.93  cos=0.55  k=0.60
[004/100] 01_to_04  L1=0.713  L1/zero=0.80  cos=0.65  k=0.67
[005/100] 01_to_05  L1=0.880  L1/zero=0.73  cos=0.72  k=0.59
[006/100] 01_to_06  L1=1.003  L1/zero=0.72  cos=0.72  k=0.55
[007/100] 01_to_07  L1=0.920  L1/zero=0.82  cos=0.59  k=0.52
[008/100] 01_to_08  L1=0.689  L1/zero=0.80  cos=0.64  k=0.51
[009/100] 01_to_09  L1=0.516  L1/zero=0.84  cos=0.66  k=0.36
[010/100] 01_to_10  L1=0.317  L1/zero=0.92  cos=0.51  k=0.22
[011/100] 02_to_01  L1=0.317  L1/zero=0.99  cos=0.33  k=0.27
[012/100] 02_to_02  L1=0.003  L1/zero=269967.81  cos=nan  k=nan
[013/100] 02_to_03  L1=0.270  L1/zero=0.80  cos=0.70  k=0.74
[014/100] 02_to_04  L1=0.504  L1/zero=0.79  cos=0.67  k=0.73
[015/100] 02_to_05  L1=0.707  L1/zero=0.73  cos=0.70  k=0.61
[016/100] 02_to_06  L1=0.843  L1/zero=0.72  cos=0.70  k=0.61
[017/100] 02_to_07  L1=0.830  L1/zero=0.84  cos=0.55  k=0.60
[018/100] 02_to_08  L1=0.660  L1/zero=0.86  cos=0.54  k=0.58
[019/100] 02_to_09  L1=0.596  L1/zero=0.95  cos=0.37  k=0.45
[020/100] 02_to_10  L1=0.437  L1/zero=1.09  cos=-0.03  k=0.46
[021/100] 03_to_01  L1=0.615  L1/zero=0.95  cos=0.51  k=0.52
[022/100] 03_to_02  L1=0.285  L1/zero=0.84  cos=0.67  k=0.67
[023/100] 03_to_03  L1=0.004  L1/zero=380732.33  cos=nan  k=nan
[024/100] 03_to_04  L1=0.246  L1/zero=0.82  cos=0.62  k=0.66
[025/100] 03_to_05  L1=0.504  L1/zero=0.80  cos=0.64  k=0.55
[026/100] 03_to_06  L1=0.675  L1/zero=0.79  cos=0.65  k=0.57
[027/100] 03_to_07  L1=0.670  L1/zero=0.92  cos=0.49  k=0.58
[028/100] 03_to_08  L1=0.625  L1/zero=0.98  cos=0.38  k=0.58
