scan	P	lung_vox	id_absmean_vox	mean_mag_all_mm	mag_01_to_06_mm	max_pair	max_mag_mm	abs_LR_01_06	abs_AP_01_06	abs_SI_01_06	fold_frac_mean
S18	108	1103162	0.0	1.649843810664283	2.1497459411621094	05_to_10	2.291487693786621	0.5683009624481201	0.6830236911773682	1.7297121286392212	3.180318529641951e-05
S19	108	1078543	0.0	2.4790515965885587	4.772788047790527	01_to_07	4.958508014678955	1.0650365352630615	1.491573691368103	4.03115701675415	0.0
S20	109	840518	0.0	2.4968501230080924	4.541779041290283	01_to_06	4.541779041290283	1.0546098947525024	1.2555760145187378	3.8996689319610596	0.0
S21	109	747446	0.0	2.176739197969437	3.416748523712158	10_to_05	3.5495524406433105	0.8270410895347595	1.0051922798156738	2.812554359436035	2.0405831170315232e-06
S22	109	840731	0.0	3.899622075425254	5.593325138092041	07_to_02	7.331287384033203	1.639737606048584	2.1574718952178955	4.172450065612793	5.245982301141092e-05
S23	109	910624	0.0	2.8588697757985857	5.251918315887451	10_to_06	5.567795276641846	1.2608896493911743	1.970190405845642	4.185090065002441	0.00013960090959243263
S24	109	812307	0.0	2.8094469547271728	4.944082260131836	01_to_06	4.944082260131836	1.1018415689468384	1.765478253364563	4.069920063018799	0.0003368213050702834
S25	110	1042819	0.0	2.653291408883201	4.946938991546631	02_to_07	5.832014083862305	1.1876153945922852	2.2579314708709717	3.815734386444092	0.00038569763058932853
S26	110	1131621	0.0	2.0340281069278716	3.8471343517303467	01_to_06	3.8471343517303467	1.1122181415557861	1.988601565361023	2.5867087841033936	0.0009039364538085766
S27	110	1120980	0.0	1.7506335079669952	3.4088079929351807	06_to_01	3.6195099353790283	0.8007892370223999	1.551740288734436	2.539268970489502	9.375433104246663e-05
S28	110	1144712	0.0	2.068630255593194	4.2530388832092285	01_to_06	4.2530388832092285	0.9064404964447021	1.771507740020752	3.3688411712646484	0.00042023869557908887
S29	110	1147146	0.0	4.742993609110514	12.412522315979004	01_to_06	12.412522315979004	2.309786558151245	4.512383460998535	10.713763236999512	0.002748945637299231
S30	111	870331	0.0	3.523012391726176	7.344823837280273	06_to_01	7.390628337860107	1.4083499908447266	2.4474377632141113	6.270198822021484	3.4936938825420114e-05
S31	111	997581	0.0	2.824469065003925	5.810328960418701	01_to_06	5.810328960418701	1.4589844942092896	1.9995412826538086	4.7405290603637695	0.0
S32	111	1077721	0.0	3.907509446144104	9.150290489196777	06_to_01	9.161524772644043	1.996833086013794	3.452444314956665	7.440689563751221	3.816308357715303e-05
S33	111	948495	0.0	3.6558792021539475	8.140308380126953	01_to_06	8.140308380126953	2.7755818367004395	3.083676338195801	5.956015110015869	1.6053889696934672e-06
S34	112	838511	0.0	2.8418328139517044	5.728794097900391	06_to_01	6.007108211517334	1.1958403587341309	2.3122658729553223	4.5258588790893555	0.00021785305811230325
S35	112	704013	0.0	3.00368868443701	6.614066123962402	06_to_01	6.877860069274902	1.155124306678772	2.950737237930298	5.264521598815918	0.0001366618075801749
S36	112	755340	0.0	2.4196455750200485	4.644018173217773	07_to_01	5.7045111656188965	0.848304808139801	1.9312379360198975	3.777714252471924	0.0
S37	112	719739	0.0	2.0350404103597004	4.426003456115723	07_to_01	4.4575090408325195	0.7429654002189636	1.9583854675292969	3.5327844619750977	0.0
S38	112	873235	0.0	2.0318549738989935	4.161411762237549	06_to_01	4.328153133392334	0.7089022397994995	1.8999419212341309	3.2964234352111816	0.0
S39	112	713475	0.0	2.3740038918124307	5.019428730010986	07_to_01	5.222477912902832	0.8585063219070435	2.0005905628204346	4.181058883666992	0.0
